snapshot_id	source_id	source_database	source_relpath	target_relpath	artifact_type	release_equivalence	note
hpa_legacy_export	hpa	Human Protein Atlas	data/hpa_proteinatlas.tsv.zip	protein_annotation/hpa/hpa_proteinatlas.tsv.zip	EARLIER_SOURCE_EXPORT	NOT_EQUIVALENT_TO_V72	Retained local HPA download from the pre-V7 pipeline; preserve as historical context only.
gtopdb_2026_1	iuphar_gtopdb	IUPHAR/BPS Guide to PHARMACOLOGY	data/interactions.csv	binding_evidence/gtopdb/interactions_2026_1.csv	SOURCE_EXPORT	NOT_EQUIVALENT_TO_V72	Header records GtoPdb 2026.1, published 2026-03-12; later than the original early pipeline but not a V7.2 exact input.
opm_legacy_api	opm	OPM	data/opm_human_proteins.json	membrane_structure/opm/opm_human_proteins.json	PARTIAL_API_CACHE	NOT_EQUIVALENT_TO_V72	Legacy API/cache artifact; retained alongside the V7.2-era OPM snapshot.
membranome_opm_combined	membranome	Membranome	data/opm_membranome_combined.json	membrane_identity/membranome/opm_membranome_combined.json	PARTIAL_API_CACHE	NOT_EQUIVALENT_TO_V72	Legacy combined OPM/Membranome cache; not a replacement for the retained V7.2-era Membranome export.
open_targets_legacy	open_targets	Open Targets Platform	data/ot_drug_cache.json	disease_evidence/open_targets/ot_drug_cache.json	PARTIAL_API_CACHE	NOT_EQUIVALENT_TO_V72	Legacy target/drug cache; preserve only as recovery context.
pdbe_interface_cache	pdbe	PDBe	data/fill_pdbe_interface_cache.json	structure/pdbe/fill_pdbe_interface_cache.json	PARTIAL_API_CACHE	NOT_EQUIVALENT_TO_V72	Large retained PDBe interface-response cache from the pre-V7 pipeline.
pdb_structure_cache	pdbe	RCSB PDB/PDBe	data/pdb_structure_cache.json	structure/pdb/pdb_structure_cache.json	PARTIAL_API_CACHE	NOT_EQUIVALENT_TO_V72	Legacy structural metadata cache; not a PDB coordinate archive.
alphafold_legacy	alphafold	AlphaFold Protein Structure Database	data/alphafold_cache.json	structure_model/alphafold/alphafold_cache.json	PARTIAL_API_CACHE	NOT_EQUIVALENT_TO_V72	Legacy model-metadata cache; predicted models remain distinct from experimental structures.
chembl_experimental	chembl	ChEMBL	data/chembl_experimental_cache.json	binding_evidence/chembl/chembl_experimental_cache.json	PARTIAL_API_CACHE	NOT_EQUIVALENT_TO_V72	Legacy ChEMBL activity/experimental cache.
chembl_mechanism	chembl	ChEMBL	data/chembl_mechanism_batch_cache.json	binding_evidence/chembl/chembl_mechanism_batch_cache.json	PARTIAL_API_CACHE	NOT_EQUIVALENT_TO_V72	Legacy ChEMBL mechanism cache.
chembl_molecule	chembl	ChEMBL	data/chembl_molecule_cache.json	binding_evidence/chembl/chembl_molecule_cache.json	PARTIAL_API_CACHE	NOT_EQUIVALENT_TO_V72	Legacy ChEMBL molecule cache.
uniprot_details	uniprotkb	UniProtKB	data/uniprot_protein_details.json	protein_annotation/uniprot/uniprot_protein_details.json	PARTIAL_API_CACHE	NOT_EQUIVALENT_TO_V72	Legacy UniProt per-protein cache; V7.2 uses UniProtKB 2026_02.
uniprot_enrichment	uniprotkb	UniProtKB	data/integrated_membrane_extra_cache.json	protein_annotation/uniprot/integrated_membrane_extra_cache.json	PARTIAL_API_CACHE	NOT_EQUIVALENT_TO_V72	Legacy membrane-protein enrichment cache.
interpro_legacy	interpro	InterPro	data/fill_interpro_cache.json	protein_annotation/interpro/fill_interpro_cache.json	PARTIAL_API_CACHE	NOT_EQUIVALENT_TO_V72	Legacy InterPro lookup cache.
pfam_interpro_legacy	pfam	Pfam	data/pfam_to_interpro_cache.json	protein_annotation/pfam/pfam_to_interpro_cache.json	PARTIAL_API_CACHE	NOT_EQUIVALENT_TO_V72	Legacy Pfam-to-InterPro lookup cache.
reactome_participants	reactome	Reactome	data/reactome_pathway_participants.json	protein_annotation/reactome/reactome_pathway_participants.json	PARTIAL_API_CACHE	NOT_EQUIVALENT_TO_V72	Legacy Reactome participant cache.
reactome_drug_export	reactome	Reactome	databases/14_reactome/reactome_drug_associations.csv	protein_annotation/reactome/reactome_drug_associations.csv	EARLIER_SOURCE_EXPORT	NOT_EQUIVALENT_TO_V72	Legacy Reactome drug-association export.
tcdb_raw_mapping	tcdb	Transporter Classification Database	data/tcdb_acc2tcid_raw.tsv	additional_legacy/tcdb/tcdb_acc2tcid_raw.tsv	SOURCE_EXPORT	NOT_IN_V72_SOURCE_REGISTRY	Preserved because it informed earlier transport annotations; it is not a V7.2 source-registry entry.
ttd_target_export	ttd	Therapeutic Target Database	databases/07_ttd/P2-01-TTD_uniprot_all.txt	additional_legacy/ttd/P2-01-TTD_uniprot_all.txt	SOURCE_EXPORT	NOT_IN_V72_SOURCE_REGISTRY	Preserved external-audit input; TTD was not promoted to the V7.2 formal release.
