"layer"	"object"	"table"	"record_count"	"column_order"	"column_name"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"1"	"canonical_uniprot_accession"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"2"	"canonical_protein_entity_id"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"3"	"gene_entity_id"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"4"	"approved_symbol"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"5"	"membrane_class"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"6"	"primary_membrane_mode"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"7"	"secondary_membrane_modes"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"8"	"evidence_level"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"9"	"form_specificity"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"10"	"public_inclusion"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"11"	"classification_scope"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"12"	"source_database"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"13"	"source_release"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"14"	"release_version"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"15"	"release_role_v72"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"16"	"default_web_inclusion_v72"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"17"	"searchable_inclusion_v72"
"classification"	"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"7800"	"18"	"release_version_v72"
