source_id	module	source_database	source_version	release_or_retrieval_date	record_scope	historical_snapshot_status	legacy_parser_or_workflow
bindingdb	binding_evidence	BindingDB	2026-07	retained per-record metadata	V7.2 public positive evidence source contribution	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	legacy_handoff/06_QA_AND_RELEASE_HISTORY/04_复现代码/v4_integration_scripts/integrate_bindingdb_index.py
biolip	binding_evidence	BioLiP	v3.1 legacy snapshot	retained per-record metadata	V7.2 public positive evidence source contribution	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	NOT_RETAINED
chembl	binding_evidence	ChEMBL	ChEMBL 37; v3.1 legacy snapshot	retained per-record metadata	V7.2 public positive evidence source contribution	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	legacy_handoff/06_QA_AND_RELEASE_HISTORY/04_复现代码/v4_integration_scripts/integrate_chembl_target_index.py
drugcentral	binding_evidence	DrugCentral	GPCRdb retrieval 2026-07-27; v3.1 legacy snapshot	retained per-record metadata	V7.2 public positive evidence source contribution	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	NOT_RETAINED
gtopdb	binding_evidence	IUPHAR/BPS Guide to PHARMACOLOGY	2026.2; GPCRdb retrieval 2026-07-27	retained per-record metadata	V7.2 public positive evidence source contribution	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	NOT_RETAINED
pdbbind	binding_evidence	PDBbind	2020.R1 reprocessed 2024; v3.1 legacy snapshot	retained per-record metadata	V7.2 public positive evidence source contribution	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	NOT_RETAINED
pdbe	binding_evidence	PDBe	current 2026-07	retained per-record metadata	V7.2 public positive evidence source contribution	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	legacy_handoff/04_CODE/C_USER_ROOT_SCRIPTS/map_pdb_ligand_codes_to_pubchem.py
pdsp_kidatabase	binding_evidence	PDSP KiDatabase	GPCRdb retrieval 2026-07-27	retained per-record metadata	V7.2 public positive evidence source contribution	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	NOT_RETAINED
pubchem_bioassay	binding_evidence	PubChem BioAssay	current 2026-07; v3.1 legacy snapshot	retained per-record metadata	V7.2 public positive evidence source contribution	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	legacy_handoff/06_QA_AND_RELEASE_HISTORY/04_复现代码/evidence_expansion_scripts/run_pubchem_remaining_v61.py
sc_pdb	binding_evidence	sc-PDB	v3.1 legacy snapshot	retained per-record metadata	V7.2 public positive evidence source contribution	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	NOT_RETAINED
uniprotkb	protein_annotation	UniProtKB	2026_02	frozen snapshot	canonical human protein identity, sequence and curated annotation	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	legacy_handoff/04_CODE/C_USER_ROOT_SCRIPTS/v7_fetch_all_uniprot_features.py
hpa	protein_annotation	Human Protein Atlas	25.1	frozen snapshot	normal tissue/cell RNA, IHC, tissue MS and subcellular localization	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	legacy_handoff/06_QA_AND_RELEASE_HISTORY/04_复现代码/evidence_expansion_scripts/download_hpa_v62.py
gene_ontology	protein_annotation	Gene Ontology	2026-06-15	frozen snapshot	molecular function and biological process	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	NOT_RETAINED
